序号,标题,BV号,AV号,UP主,UID,分区,时长,发布时间,播放量,点赞,收藏,弹幕,评论,标签,简介,封面
961,东巴纸,BV1ozw4ztEqm,116228106551729,归乡人山白,3494349557992101,手工,8:10,2026-03-14 23:02,677365,98030,9908,1849,1113,"寻找100位非遗手艺人,东巴纸,纳西族,手工纸,手工艺,手工,原创",纸寿千年，纳西族手工造纸。,https://i1.hdslb.com/bfs/archive/62ed064b30e48ab8740683535ec2a4640da5791a.jpg
962,中国的42项世界非遗项目 你都知道吗？,BV1NK411G7rv,500654333,中新视频,104092224,社会,4:38,2020-12-19 15:11,28939,680,801,21,38,"世界非遗项目,中国",12月17日晚，中国单独申报的“太极拳”、与马来西亚联合申报的“送王船——有关人与海洋可持续联系的仪式及相关实践”两个项目，经联合国教科文组织保护非物质文化遗产政府间委员会评审通过，列入联合国教科文组织人类非物质文化遗产代表作名录。那么，你知道中国的世界非物质文化遗产项目有多少个？有哪些？快跟我一起增长知识吧！,https://i2.hdslb.com/bfs/archive/f2e9d4d1134718bada898f5f9cce68245e4c7592.jpg
963,【大学生纪录短片/非遗/剪纸/原创】纸下的时间旅行者【高清1080P】万物理论拯救传统文化,BV1xs411y7CG,5301655,暗海见雪生,25005818,小剧场,15:39,2016-07-12 14:20,390083,7508,12177,347,198,"传统文化,传承,纪录片,冯骥才,万物理论",以乡村七十多岁民间剪纸艺人几十年扎根于民间文化为起点，伴随着生活在城市却致力于剪纸的保护与创新的艺术家郭梅花的故事进行交叉叙事，串起剪纸的历史与发展，民俗与文化。,https://i1.hdslb.com/bfs/archive/36284d6e91d13a830b61de8ac73cc367a4f1f2d7.jpg
964,谁还不是个rapper！一首歌串起中国43项世界级非遗,BV1FV4y1y78y,870118526,央视新闻,456664753,人文历史,3:13,2023-06-22 09:56,353155,46508,9405,272,783,"非遗,说唱",目前，中国43个项目列入联合国教科文组织，非物质文化遗产名录、名册数量居世界第一。端午节到来之际，央视新闻推出原创音乐MV《非常·非遗》，用一首歌曲串联起这43项世界级非遗项目，以音乐和视觉符号呈现中国式浪漫，彰显古老东方的历史文明之美。,https://i0.hdslb.com/bfs/archive/4b2558b64cc8011d043597b24c184eb78ec51587.jpg
965,非遗群像MVP结算画面,BV1JwWyzPE74,115387786207195,Locus建鹏,448415359,运动综合,0:33,2025-10-17 13:15,3426804,947395,222099,100260,8884,"逆水寒手游,逆水寒非遗计划,逆水寒次元破壁",-,https://i2.hdslb.com/bfs/archive/b1acff3579f22a0752d4961c7d319667c1866b16.jpg
966,网红想火想疯了？魔改中国非遗“黄梅戏”，惨遭央视发文“怒”批,BV1oq4y1N7ug,547995107,下饭音乐,11173348,乐评盘点,4:29,2021-09-14 17:10,3642675,192762,15640,47189,12344,"音乐分享官,乐评盘点,周杰伦,小姐姐,漫步人生路,青花瓷,网红翻唱,粤语歌,黄梅戏",要说现在刷手机，新歌没几首，老歌倒是不断被 魔改翻唱~甚至为了流量，网红们跟风拍摄 根本不管歌曲内容~今天饭饭 就带来的几首 被网红玩“变味”的歌，坚持听完的 可都是我的死忠粉呐,https://i2.hdslb.com/bfs/archive/65a0a945e8e351ea4548859398048a400a3bc155.jpg
967,以朱为信，以泥承魂，印泥，中华文房瑰宝,BV1VanmzbEbt,115293598781324,I彭传明,589188442,手工,22:26,2025-09-30 22:15,335682,28987,2825,1570,500,"中国,原创,文化",-,https://i2.hdslb.com/bfs/archive/9f1331aecca0077f75a416b03dd6219d90c378e5.jpg
968,鬼步、僵尸摔、滚灯……科普19种技惊四座的非遗绝技,BV1kXpWzyE6u,115217564570288,全球顶尖投影,3546744608524364,出行,2:45,2025-09-17 11:45,423695,37473,8866,256,555,"绝技,人文历史档案馆,传统文化,变脸,杂技,戏曲,鬼步,非遗,科普,京剧",,https://i1.hdslb.com/bfs/archive/c60f3ec3e64997d87ead2e58699a3eb49cb40e99.jpg
969,这不是迷信，这是中国傩戏。,BV1Xf421v74t,1206450288,唱饭的王小潮,1107899745,人文历史,2:45,2024-08-10 09:58,4003239,421831,190004,3655,4475,"非遗文化,文化,正能量,寻找非遗文化,行走的人文,中国",-,https://i1.hdslb.com/bfs/archive/49daebd4631fa0c00276d9350417f86fbd6af584.jpg
970,【《浮光》遇到中国非遗】中国的43个世界级非遗，你知道几个？,BV1L1421275U,1555202564,非遗正年轻,156651846,人文历史,4:21,2024-05-27 21:37,70621,1491,2589,17,61,"浮光,周深,世界级非遗,中国,传统文化,历史,非遗,文化",-,https://i0.hdslb.com/bfs/archive/a11d2fe91f98de969d84d93481c666bc65adbd4f.jpg
971,99%的人没见过这个非遗，可它正在消失,BV14A57zLEd1,114358101284195,摇铃啊摇铃儿,1330962869,人文历史,6:55,2025-04-18 17:10,2833317,123676,118188,4454,1189,"烟花,药发木偶,非遗,温州,寻找100位非遗手艺人,传统文化,寻找100位非遗手艺人 3.0,木偶戏",这是99%的人没听说过的非遗，温州泰顺的药发木偶。是火树银花的真实写照历时四个月，在失望与希望中反复挣扎，这次终于把周尔禄爷爷坚持了一生的热爱，带到了你的面前。因为这项非遗原料的特殊，一直在法律的文化传承的矛盾中挣扎，几度垂危，这期视频，中间有过很多次想放弃的时候，或许是因为我成为了他的第一位年轻“女徒弟”，或许因为这是我家乡的非遗，又或许只是因为它的传承人是周爷爷，这个历经种种磨难，依然在苦难中开出花的，理想主义老头！他真的太好啦87天的争取实在是漫长！可又怎么漫长得过周爷爷60多年，2万多天的坚持呢。,https://i2.hdslb.com/bfs/archive/f1dde5456c9361870e919747e4b14e1c10f212cc.jpg
972,每周质量报告 | 央视曝光假非遗乱象,BV1Upf9BVEut,116009952416434,央视网,222103174,日常,18:18,2026-02-04 10:20,30411,1851,309,51,81,非遗,,https://i2.hdslb.com/bfs/archive/34738e7584707de16910fa86679013ae30a45b8a.jpg
973,手写代码的程序员成非遗了❓「古法编程」突然火了❗️,BV1UzwDz1E6w,116243071835663,智冷Shaw,480800563,计算机技术,0:51,2026-03-17 14:22,12243,121,75,86,64,"万万没想到,AI,人工智能,编程,程序员,学习,高能,科普,分享我的专业知识,代码",“古法编程”这个词一出来，我先笑了。以前程序员不用AI写代码叫基本操作，现在居然成了“古法手艺”。照这趋势下去，未来程序员怕不是要进博物馆现场表演纯手搓代码了。你觉得，不靠AI写代码的人，以后会不会真成“非遗传承人”？关注智冷Shaw，AI时代走前头！,https://i1.hdslb.com/bfs/archive/dedb798ce2c9122234b899598e2262af3e525da5.jpg
974,开者即死，这四个字震慑了盗墓贼整整1400年,BV1W1ckz1EYk,116215389363710,江寻千,1895195099,手工,7:22,2026-03-12 17:11,1689809,71815,35517,702,773,"文化,闹蛾扑花钗,寻找100位非遗手艺人,非遗,花丝镶嵌,手工艺",,https://i2.hdslb.com/bfs/archive/2bdc919399b36b6c49fcc199af199f86ff1e8252.jpg
975,在你看到这期视频之前，它，没有观众,BV1Nw4m1k7Mk,1106345646,南翔,596842980,手工,6:6,2024-08-14 16:50,15767248,917337,442020,17326,7673,"一起做手工吧16.0 手工暑期大作战,非遗,打铁花,我的整活手工大赏,非遗传承,炭花舞,七江炭花舞,火壶",-,https://i0.hdslb.com/bfs/archive/c3cc26fc610220badb0b446469ca0ecf63577451.jpg
